,track_name,artists,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
0,Seven (feat. Latto) (Explicit Ver.),Latto,2,2023,7,14,553,147,141381703,43,263,45,10,140,125,11,Major,80,89,83,31,0,8,4
1,Seven (feat. Latto) (Explicit Ver.),Jung Kook,2,2023,7,14,553,147,141381703,43,263,45,10,140,125,11,Major,80,89,83,31,0,8,4
2,LALA,Myke Towers,1,2023,3,23,1474,48,133716286,48,126,58,14,62,92,1,Major,71,61,74,7,0,10,4
3,vampire,Olivia Rodrigo,1,2023,6,30,1397,113,140003974,94,207,91,14,111,138,5,Major,51,32,53,17,0,31,6
4,Cruel Summer,Taylor Swift,1,2019,8,23,7858,100,800840817,116,207,125,12,106,170,9,Major,55,58,72,11,0,11,15
5,WHERE SHE GOES,Bad Bunny,1,2023,5,18,3133,50,303236322,84,133,87,15,66,144,9,Minor,65,23,80,14,63,11,6
6,Sprinter,Dave,2,2023,6,1,2186,91,183706234,67,213,88,17,107,141,1,Major,92,66,58,19,0,8,24
7,Sprinter,Central Cee,2,2023,6,1,2186,91,183706234,67,213,88,17,107,141,1,Major,92,66,58,19,0,8,24
8,Ella Baila Sola,Eslabon Armado,2,2023,3,16,3090,50,725980112,34,222,43,13,95,148,5,Minor,67,83,76,48,0,8,3
9,Ella Baila Sola,Peso Pluma,2,2023,3,16,3090,50,725980112,34,222,43,13,95,148,5,Minor,67,83,76,48,0,8,3
10,Columbia,Quevedo,1,2023,7,7,714,43,58149378,25,89,30,13,48,100,5,Major,67,26,71,37,0,11,4
11,fukumean,Gunna,1,2023,5,15,1096,83,95217315,60,210,48,11,101,130,1,Minor,85,22,62,12,0,28,9
12,La Bebe - Remix,Peso Pluma,2,2023,3,17,2953,44,553634067,49,110,66,13,55,170,2,Minor,81,56,48,21,0,8,33
13,La Bebe - Remix,Yng Lvcas,2,2023,3,17,2953,44,553634067,49,110,66,13,55,170,2,Minor,81,56,48,21,0,8,33
14,un x100to,Bad Bunny,2,2023,4,17,2876,40,505671438,41,205,54,12,85,83,6,Minor,57,56,72,23,0,27,5
15,un x100to,Grupo Frontera,2,2023,4,17,2876,40,505671438,41,205,54,12,85,83,6,Minor,57,56,72,23,0,27,5
16,Super Shy,NewJeans,1,2023,7,7,422,55,58255150,37,202,21,5,87,150,5,Minor,78,52,82,18,0,15,7
17,Flowers,Miley Cyrus,1,2023,1,12,12211,115,1316855716,300,215,745,58,129,118,-1,Major,71,65,68,6,0,3,7
18,Daylight,David Kushner,1,2023,4,14,3528,98,387570742,80,156,182,24,92,130,2,Minor,51,32,43,83,0,9,3
19,As It Was,Harry Styles,1,2022,3,31,23575,130,2513188493,403,198,863,46,124,174,6,Minor,52,66,73,34,0,31,6
20,Kill Bill,SZA,1,2022,12,8,8109,77,1163093654,183,162,161,12,83,89,8,Major,64,43,73,5,17,16,4
21,Cupid - Twin Ver.,Fifty Fifty,1,2023,2,24,2942,77,496795686,91,212,78,6,98,120,11,Minor,78,76,59,43,0,34,3
22,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,1,2023,7,13,873,104,30546883,80,227,95,24,118,78,-1,Major,44,14,9,96,0,10,3
23,Classy 101,Feid,2,2023,3,31,2610,40,335222234,43,100,54,14,51,100,11,Major,86,67,66,14,0,12,16
24,Classy 101,Young Miko,2,2023,3,31,2610,40,335222234,43,100,54,14,51,100,11,Major,86,67,66,14,0,12,16
25,Like Crazy,Jimin,1,2023,3,24,596,68,363369738,8,104,23,2,58,120,7,Major,63,36,73,0,0,36,4
26,LADY GAGA,Gabito Ballesteros,3,2023,6,22,332,26,86444842,11,163,10,4,64,140,5,Minor,65,87,74,22,0,42,4
27,LADY GAGA,Junior H,3,2023,6,22,332,26,86444842,11,163,10,4,64,140,5,Minor,65,87,74,22,0,42,4
28,LADY GAGA,Peso Pluma,3,2023,6,22,332,26,86444842,11,163,10,4,64,140,5,Minor,65,87,74,22,0,42,4
29,I Can See You (Taylors Version) (From The,Taylor Swift,1,2023,7,7,516,38,52135248,73,119,42,1,52,123,6,Major,69,82,76,6,0,6,3
30,I Wanna Be Yours,Arctic Monkeys,1,2013,1,1,12859,110,1297026226,24,98,582,2,70,135,-1,Minor,48,44,42,12,2,11,3
31,"Peso Pluma: Bzrp Music Sessions, Vol. 55",Bizarrap,2,2023,5,31,1313,40,200647221,17,152,32,11,67,133,5,Minor,85,81,67,26,0,12,5
32,"Peso Pluma: Bzrp Music Sessions, Vol. 55",Peso Pluma,2,2023,5,31,1313,40,200647221,17,152,32,11,67,133,5,Minor,85,81,67,26,0,12,5
33,Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),The Weeknd,3,2023,6,2,1945,87,115364561,74,182,87,14,94,99,1,Major,85,83,68,7,0,36,20
34,Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),Madonna,3,2023,6,2,1945,87,115364561,74,182,87,14,94,99,1,Major,85,83,68,7,0,36,20
35,Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),Playboi Carti,3,2023,6,2,1945,87,115364561,74,182,87,14,94,99,1,Major,85,83,68,7,0,36,20
